issue,name,reason,url,affiliate
vegan,The Vegan Kind,"100% vegan online supermarket.",https://www.thevegankind.com,false
vegan,Unreal Deli,"Plant-based deli products sold online.",https://unrealdeli.com,false
cruelty free beauty,e.l.f. Cosmetics,"Public no-animal-testing stance.",https://www.elfcosmetics.com,false
cruelty free beauty,Lush,"Known for anti-animal-testing campaigns.",https://www.lush.com,false
fair trade coffee,Café Direct,"Fairtrade-centered sourcing model.",https://www.cafedirect.co.uk,false
fair trade food,Tony's Chocolonely,"Focus on exploitation-free cocoa supply chains.",https://tonyschocolonely.com,false
ethical fashion,People Tree,"Fair trade fashion focus.",https://www.peopletree.co.uk,false
ethical fashion,Kowtow,"Ethical fashion with organic materials.",https://kowtowclothing.com,false
climate action,Allbirds,"Publishes product carbon footprint details.",https://www.allbirds.com,false
climate action,tentree,"Tree-planting and environmental impact focus.",https://www.tentree.com,false
plastic reduction,Blueland,"Refillable products to reduce plastic waste.",https://www.blueland.com,false
plastic reduction,Package Free Shop,"Low-waste reusable alternatives.",https://packagefreeshop.com,false
women founded,Spanx,"Founded by Sara Blakely.",https://spanx.com,false
women founded,Glossier,"Founded by Emily Weiss.",https://www.glossier.com,false
lgbtq support,Levi's,"Runs Pride-related campaigns and collections.",https://www.levi.com,false
lgbtq support,Converse,"Runs annual Pride campaigns.",https://www.converse.com,false
conflict-free sourcing,Fairphone,"Responsible mineral sourcing focus.",https://shop.fairphone.com,false
conflict-free sourcing,Brilliant Earth,"Beyond-conflict-free sourcing positioning.",https://www.brilliantearth.com,false
inclusive sizing,Universal Standard,"Broad size-range inclusivity.",https://www.universalstandard.com,false
inclusive sizing,Girlfriend Collective,"Extended sizing in activewear.",https://girlfriend.com,false
